normalized_question,frequency,sample_questions,candidate_answer_hint
老师在 练习包下发 里找不到上节课的作业发布入口 是入口改版了吗,6,"[""老师在 练习包下发 里找不到上节课的作业发布入口，是入口改版了吗？""]",归档到平台使用 FAQ，后续建议增加关键词别名，便于检索命中。
课堂管理后台 今天上课时加载比较慢 点开课件投屏后白屏 想确认是不是教师端版本问题,6,"[""课堂管理后台 今天上课时加载比较慢，点开课件投屏后白屏，想确认是不是教师端版本问题。""]",排查后为缓存与权限叠加问题，已给出清理缓存和重新授权步骤。
班级开课后学生端一直显示未开始 老师问是不是还需要在 课件投屏 里再点一次确认,5,"[""班级开课后学生端一直显示未开始，老师问是不是还需要在 课件投屏 里再点一次确认。""]",排查后为缓存与权限叠加问题，已给出清理缓存和重新授权步骤。
老师课堂演示时跑出 zerodivisionerror 代码和课程文档差不多 但学生端还是报错 想确认最常见原因 附带代码 print hello,4,"[""老师课堂演示时跑出 ZeroDivisionError，代码和课程文档差不多，但学生端还是报错，想确认最常见原因。 附带代码： print('hello')""]",已定位为 ZeroDivisionError 的典型触发条件，给出错误原因、修复步骤和适合老师口头解释的版本。
老师端示例代码运行没报错 但学生自己写的时候总把 range函数 写错 我想找一个更短的说明,4,"[""老师端示例代码运行没报错，但学生自己写的时候总把 range函数 写错，我想找一个更短的说明。""]",归档到 FAQ 候选，后续补入知识库标准问法。
老师在 课程资源中心 里找不到上节课的作业发布入口 是入口改版了吗,4,"[""老师在 课程资源中心 里找不到上节课的作业发布入口，是入口改版了吗？""]",已确认是新版入口调整，给出点击路径和截图说明，并补充版本差异说明。
作业批改台 今天上课时加载比较慢 点开课件投屏后白屏 想确认是不是教师端版本问题,3,"[""作业批改台 今天上课时加载比较慢，点开课件投屏后白屏，想确认是不是教师端版本问题。""]",已确认是新版入口调整，给出点击路径和截图说明，并补充版本差异说明。
老师课堂演示时跑出 typeerror 代码和课程文档差不多 但学生端还是报错 想确认最常见原因 附带代码 print hello,3,"[""老师课堂演示时跑出 TypeError，代码和课程文档差不多，但学生端还是报错，想确认最常见原因。 附带代码： print('hello')""]",建议先用最小复现代码说明 TypeError 的原因，再展示修正后的课堂示例。
老师课堂演示时跑出 indexerror 代码和课程文档差不多 但学生端还是报错 想确认最常见原因 附带代码 print hello,3,"[""老师课堂演示时跑出 IndexError，代码和课程文档差不多，但学生端还是报错，想确认最常见原因。 附带代码： print('hello')""]",已关联到历史报错说明和 FAQ，同步沉淀到知识库。
老师在 作业批改台 里找不到上节课的作业发布入口 是入口改版了吗,3,"[""老师在 作业批改台 里找不到上节课的作业发布入口，是入口改版了吗？""]",归档到平台使用 FAQ，后续建议增加关键词别名，便于检索命中。
课后答疑里很多学生还是没理解 调试打印 想补一个练习讲评脚本,3,"[""课后答疑里很多学生还是没理解 调试打印，想补一个练习讲评脚本。""]",已给出 3 步式课堂设计建议：情境导入、示例演示、学生复述；并补充了可选互动提问。
班级开课后学生端一直显示未开始 老师问是不是还需要在 班级管理 里再点一次确认,3,"[""班级开课后学生端一直显示未开始，老师问是不是还需要在 班级管理 里再点一次确认。""]",归档到平台使用 FAQ，后续建议增加关键词别名，便于检索命中。
班级开课后学生端一直显示未开始 老师问是不是还需要在 课堂管理后台 里再点一次确认,3,"[""班级开课后学生端一直显示未开始，老师问是不是还需要在 课堂管理后台 里再点一次确认。""]",已确认是新版入口调整，给出点击路径和截图说明，并补充版本差异说明。
课后答疑里很多学生还是没理解 课程导入 想补一个练习讲评脚本,3,"[""课后答疑里很多学生还是没理解 课程导入，想补一个练习讲评脚本。""]",归为课程设计场景，后续纳入知识库中的教案优化专题。
